#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Bacteroides thetaiotaomicron CAG:40	Bacteria	FCB group	Bacteroidetes/Chlorobi group	5.38445	-	-	-	1
Bacteroides uniformis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.95894	-	-	-	10
Bacteroides uniformis CAG:3	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.27033	-	-	-	1
Bacteroides vulgatus	Bacteria	FCB group	Bacteroidetes/Chlorobi group	5.16319	1	-	-	8
Bacteroides vulgatus CAG:6	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.83966	-	-	-	1
Bacteroides xylanisolvens	Bacteria	FCB group	Bacteroidetes/Chlorobi group	6.48404	1	-	-	6
Bacteroidetes bacterium 38_7	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.13732	-	-	-	1
Bacteroidetes bacterium HLUCCA01	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.37278	-	-	-	1
Bacteroidetes bacterium JGI 0000112-P09	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.89049	-	-	-	1
Bacteroidetes bacterium JGI 0000119-L22	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.608022	-	-	-	1
Bacteroidetes bacterium JGI 0001001-A08	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.180196	-	-	-	1
Bacteroidetes bacterium OLB10	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.96291	-	-	-	1
Bacteroidetes bacterium OLB11	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.1882	-	-	-	1
Bacteroidetes bacterium OLB12	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.5963	-	-	-	1
Bacteroidetes bacterium OLB8	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.57842	-	-	-	1
Bacteroidetes bacterium OLB9	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.1635	-	-	-	1
Bacteroidetes bacterium SCGC AAA027-G08	Bacteria	FCB group	Bacteroidetes/Chlorobi group	1.44203	-	-	-	1
Bacteroidetes bacterium SCGC AAA027-N21	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.30658	-	-	-	1
Bacteroidetes bacterium UKL13-3	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.23653	1	-	-	1
Bacteroidetes bacterium oral taxon 272	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.50274	-	-	-	1
Bacteroidetes oral taxon 274	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.11354	-	-	-	1
Bacteroidia bacterium Ga0077558	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.07838	-	-	-	1
Bacteroidia bacterium UC5.1-2G11	Bacteria	FCB group	Bacteroidetes/Chlorobi group	5.73588	-	-	-	1
Bactrocera cucurbitae	Eukaryota	Animals	Insects	374.82	-	1	-	1
Bactrocera dorsalis	Eukaryota	Animals	Insects	414.985	-	1	-	1
Bactrocera oleae	Eukaryota	Animals	Insects	471.78	-	1	-	2
Bactrocera tryoni	Eukaryota	Animals	Insects	519.006	-	-	-	1
Badger feces-associated gemycircularvirus	Viruses	unclassified viruses	unclassified	0.002112	1	-	-	1
Baeospora myosura	Eukaryota	Fungi	Basidiomycetes	61.019	-	-	-	1
Baetis rhodani	Eukaryota	Animals	Insects	174.117	-	-	-	1
Bagaza virus	Viruses	ssRNA viruses	Flaviviridae	0.010941	1	-	-	1
Balaenoptera acutorostrata	Eukaryota	Animals	Mammals	2431.69	-	1	-	1
Balaenoptera bonaerensis	Eukaryota	Animals	Mammals	2234.64	-	-	-	1
Balamuthia mandrillaris	Eukaryota	Protists	Other Protists	67.6565	-	1	-	2
Balansia obtecta	Eukaryota	Fungi	Ascomycetes	30.1535	-	-	-	1
Balearica regulorum	Eukaryota	Animals	Birds	1127.62	-	1	-	1
Ball python nidovirus	Viruses	ssRNA viruses	unclassified	0.033452	1	-	-	1
Balneatrix alpica	Bacteria	Proteobacteria	Gammaproteobacteria	3.65392	-	-	-	1
Balneola	Bacteria	Rhodothermaeota	Balneolia	3.62423	-	-	-	1
Balneola vulgaris	Bacteria	Rhodothermaeota	Balneolia	2.85775	-	-	-	1
Bamboo mosaic virus	Viruses	ssRNA viruses	Alphaflexiviridae	0.006366	1	-	-	1
Bamboo mosaic virus satellite RNA	Viruses	Satellites	unclassified	0.000836	1	-	-	1
Baminivirus	Viruses	ssDNA viruses	Geminiviridae	0.002806	1	-	-	1
Banana bract mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009711	1	-	-	1
Banana bunchy top virus	Viruses	ssDNA viruses	Nanoviridae	0.006396	6	-	-	1
Banana mild mosaic virus	Viruses	ssRNA viruses	Betaflexiviridae	0.007352	1	-	-	1
Banana streak CA virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007408	1	-	-	1
Banana streak GF virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007263	1	-	-	1
Banana streak IM virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007769	1	-	-	1
Banana streak MY virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.00765	1	-	-	1
Banana streak OL virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007389	1	-	-	1
Banana streak UA virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007519	1	-	-	1
Banana streak UI virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007458	1	-	-	1
Banana streak UL virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007401	1	-	-	1
Banana streak UM virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007532	1	-	-	1
Banana streak VN virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007801	1	-	-	1
Banana streak virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007722	1	-	-	1
Bandicoot papillomatosis carcinomatosis virus type 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007295	1	-	-	1
Bandicoot papillomatosis carcinomatosis virus type 2	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007277	1	-	-	1
Bank vole polyomavirus	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005032	1	-	-	1
Banna virus	Viruses	dsRNA viruses	Reoviridae	0.020682	12	-	-	1
Barbel circovirus	Viruses	ssDNA viruses	Circoviridae	0.001957	1	-	-	1
Barfin flounder nervous necrosis virus	Viruses	ssRNA viruses	Nodaviridae	0.004534	2	-	-	1
Barley mild mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.010786	2	-	-	1
Barley stripe mosaic virus	Viruses	ssRNA viruses	Virgaviridae	0.010221	3	-	-	1
Barley virus G	Viruses	ssRNA viruses	Luteoviridae	0.00562	1	-	-	1
Barley yellow dwarf virus	Viruses	ssRNA viruses	Luteoviridae	0.005736	1	-	-	1
Barley yellow dwarf virus-GAV	Viruses	ssRNA viruses	Luteoviridae	0.005685	1	-	-	1
Barley yellow dwarf virus-MAV	Viruses	ssRNA viruses	Luteoviridae	0.005273	1	-	-	1
Barley yellow dwarf virus-PAS	Viruses	ssRNA viruses	Luteoviridae	0.005695	1	-	-	1
Barley yellow dwarf virus-PAV	Viruses	ssRNA viruses	Luteoviridae	0.005677	1	-	-	1
Barley yellow mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.011219	2	-	-	1
Barley yellow striate mosaic virus	Viruses	ssRNA viruses	Rhabdoviridae	0.012706	1	-	-	1
Barmah Forest virus	Viruses	ssRNA viruses	Togaviridae	0.011488	1	-	-	1
Barnesiella intestinihominis	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.44391	-	-	-	1
Barnesiella viscericola	Bacteria	FCB group	Bacteroidetes/Chlorobi group	3.07686	1	-	-	1
Bartonella	Bacteria	Proteobacteria	Alphaproteobacteria	2.14764	-	-	-	1
Bartonella alsatica	Bacteria	Proteobacteria	Alphaproteobacteria	1.6739	-	-	-	1
Bartonella ancashensis	Bacteria	Proteobacteria	Alphaproteobacteria	1.46769	1	-	-	1
Bartonella australis	Bacteria	Proteobacteria	Alphaproteobacteria	1.59649	1	-	-	1
Bartonella bacilliformis	Bacteria	Proteobacteria	Alphaproteobacteria	1.39471	1	-	-	16
Bartonella birtlesii	Bacteria	Proteobacteria	Alphaproteobacteria	1.83401	1	-	-	6
Bartonella bovis	Bacteria	Proteobacteria	Alphaproteobacteria	1.62467	1	-	-	2
Bartonella clarridgeiae	Bacteria	Proteobacteria	Alphaproteobacteria	1.52274	1	-	-	2
Bartonella doshiae	Bacteria	Proteobacteria	Alphaproteobacteria	1.81018	-	-	-	3
Bartonella elizabethae	Bacteria	Proteobacteria	Alphaproteobacteria	1.97856	-	-	-	3
Bartonella florencae	Bacteria	Proteobacteria	Alphaproteobacteria	2.05351	-	-	-	1
Bartonella grahamii	Bacteria	Proteobacteria	Alphaproteobacteria	2.36952	1	-	1	2
Bartonella henselae	Bacteria	Proteobacteria	Alphaproteobacteria	1.93105	1	-	-	11
Bartonella koehlerae	Bacteria	Proteobacteria	Alphaproteobacteria	1.74711	-	-	-	1
Bartonella melophagi	Bacteria	Proteobacteria	Alphaproteobacteria	1.57123	-	-	-	1
Bartonella queenslandensis	Bacteria	Proteobacteria	Alphaproteobacteria	2.37786	-	-	-	1
Bartonella quintana	Bacteria	Proteobacteria	Alphaproteobacteria	1.58765	1	-	-	14
Bartonella rattaustraliani	Bacteria	Proteobacteria	Alphaproteobacteria	2.15844	-	-	-	1
Bartonella rattimassiliensis	Bacteria	Proteobacteria	Alphaproteobacteria	2.17065	-	-	-	2
Bartonella rochalimae	Bacteria	Proteobacteria	Alphaproteobacteria	1.53414	-	-	-	1
Bartonella schoenbuchensis	Bacteria	Proteobacteria	Alphaproteobacteria	1.68047	-	-	2	1
Bartonella senegalensis	Bacteria	Proteobacteria	Alphaproteobacteria	2.00232	-	-	-	1
Bartonella tamiae	Bacteria	Proteobacteria	Alphaproteobacteria	2.25495	-	-	-	2
Bartonella taylorii	Bacteria	Proteobacteria	Alphaproteobacteria	2.01568	-	-	-	1
Bartonella tribocorum	Bacteria	Proteobacteria	Alphaproteobacteria	2.6424	1	-	1	2
Bartonella vinsonii	Bacteria	Proteobacteria	Alphaproteobacteria	1.8027	1	-	-	5
Bartonella washoensis	Bacteria	Proteobacteria	Alphaproteobacteria	1.97082	-	-	-	2
Basella rugose mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009804	1	-	-	1
Basidioascus undulatus	Eukaryota	Fungi	Basidiomycetes	32.1281	-	-	-	1
Basidiobolus meristosporus	Eukaryota	Fungi	Other Fungi	103.859	-	-	-	2
Basilea psittacipulmonis DSM 24701	Bacteria	Proteobacteria	Betaproteobacteria	1.95907	1	-	-	1
Basipetospora chlamydospora	Eukaryota	Fungi	Ascomycetes	33.4899	-	-	-	1
Bat Hp-betacoronavirus/Zhejiang2013	Viruses	ssRNA viruses	Coronaviridae	0.031491	1	-	-	1
Bat Paramyxovirus Eid_hel/GH-M74a/GHA/2009	Viruses	ssRNA viruses	Paramyxoviridae	0.01853	1	-	-	1
Bat adeno-associated virus YNM	Viruses	ssDNA viruses	Parvoviridae	0.004286	1	-	-	1
Bat adenovirus 2	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.031616	1	-	-	1
Bat adenovirus TJM	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.031681	1	-	-	1
Bat bocavirus	Viruses	ssDNA viruses	Parvoviridae	0.005203	1	-	-	1
Bat circovirus	Viruses	ssDNA viruses	Circoviridae	0.001798	1	-	-	1
Bat circovirus POA/2012/II	Viruses	ssDNA viruses	Circoviridae	0.001755	1	-	-	1
Bat circovirus POA/2012/VI	Viruses	ssDNA viruses	Circoviridae	0.00179	1	-	-	1
Bat coronavirus 1A	Viruses	ssRNA viruses	Coronaviridae	0.028326	1	-	-	1
Bat coronavirus BM48-31/BGR/2008	Viruses	ssRNA viruses	Coronaviridae	0.029276	1	-	-	1
Bat coronavirus CDPHE15/USA/2006	Viruses	ssRNA viruses	Coronaviridae	0.028035	1	-	-	1
Bat hepatitis virus	Viruses	Retro-transcribing viruses	Hepadnaviridae	0.00323	1	-	-	1
Bat hepatovirus	Viruses	ssRNA viruses	Picornaviridae	0.007333	1	-	-	1
Bat hepevirus	Viruses	ssRNA viruses	Hepeviridae	0.006796	1	-	-	1
Bat mastadenovirus WIV10	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.037556	1	-	-	1
Bat mastadenovirus WIV11	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.038073	1	-	-	1
Bat mastadenovirus WIV9	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.037545	1	-	-	1
Bat picornavirus 1	Viruses	ssRNA viruses	Picornaviridae	0.007753	1	-	-	1
Bat picornavirus 2	Viruses	ssRNA viruses	Picornaviridae	0.007693	1	-	-	1
Bat picornavirus 3	Viruses	ssRNA viruses	Picornaviridae	0.007749	1	-	-	1
Bat polyomavirus 5a	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005075	1	-	-	1
Bat polyomavirus 5b	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005047	1	-	-	1
Bat polyomavirus 6a	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005019	1	-	-	1
Bat polyomavirus 6b	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005039	1	-	-	1
Bat polyomavirus 6c	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005046	1	-	-	1
Bat polyomavirus 6d	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.004956	1	-	-	1
Bat sapovirus TLC58/HK	Viruses	ssRNA viruses	Caliciviridae	0.007696	1	-	-	1
Bathycoccus sp. RCC1105 virus BpV1	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	0.198519	1	-	-	1
Bathymodiolus azoricus thioautotrophic gill symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	1.854	-	-	-	2
Bathymodiolus septemdierum thioautotrophic gill symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	1.46943	1	-	-	1
Batrachochytrium dendrobatidis	Eukaryota	Fungi	Other Fungi	24.3151	-	-	-	2
Baudoinia panamericana	Eukaryota	Fungi	Ascomycetes	21.8756	-	-	-	1
Bavariicoccus seileri	Bacteria	Terrabacteria group	Firmicutes	2.24244	-	-	-	1
Bdellovibrio	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.53942	-	-	-	1
Bdellovibrio bacteriovorus	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.78295	1	-	-	7
Bdellovibrio exovorus	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.65789	1	-	-	1
Bdellovibrio phage phi1402	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.023931	1	-	-	1
Bdellovibrio phage phi1422	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.045354	1	-	-	1
Bdellovibrio phage phiMH2K	Viruses	ssDNA viruses	Microviridae	0.004594	1	-	-	1
Bdellovibrionales bacterium Ga0074137	Bacteria	Proteobacteria	delta/epsilon subdivisions	3.38787	-	-	-	1
Bdellovibrionales bacterium Ga0074139	Bacteria	Proteobacteria	delta/epsilon subdivisions	2.89727	-	-	-	1
Beak and feather disease virus	Viruses	ssDNA viruses	Circoviridae	0.001993	1	-	-	1
Bean calico mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005175	2	-	-	1
Bean chlorosis virus	Viruses	ssDNA viruses	Geminiviridae	0.005279	2	-	-	1
Bean chlorotic mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005163	2	-	-	1
Bean common mosaic necrosis virus	Viruses	ssRNA viruses	Potyviridae	0.009612	1	-	-	1
Bean common mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009992	1	-	-	1
Bean dwarf mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005191	2	-	-	1
Bean golden mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005197	2	-	-	1
Bean golden yellow mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005232	2	-	-	1
Bean leafroll virus	Viruses	ssRNA viruses	Luteoviridae	0.005964	1	-	-	1
Bean necrotic mosaic virus	Viruses	ssRNA viruses	Bunyaviridae	0.01651	3	-	-	1
Bean pod mottle virus	Viruses	ssRNA viruses	Secoviridae	0.009657	2	-	-	1
Bean rugose mosaic virus	Viruses	ssRNA viruses	Secoviridae	0.009553	2	-	-	1
Bean yellow disorder virus	Viruses	ssRNA viruses	Closteroviridae	0.017495	2	-	-	1
Bean yellow dwarf virus	Viruses	ssDNA viruses	Geminiviridae	0.002561	1	-	-	1
Bean yellow mosaic Mexico virus	Viruses	ssDNA viruses	Geminiviridae	0.002641	1	-	-	1
Bean yellow mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009532	1	-	-	1
Bear Canyon mammarenavirus	Viruses	ssRNA viruses	Arenaviridae	0.010441	2	-	-	1
Bearded dragon parvovirus	Viruses	ssDNA viruses	Parvoviridae	0.00459	1	-	-	1
Beauveria bassiana	Eukaryota	Fungi	Ascomycetes	33.6978	-	-	-	7
Beauveria bassiana RNA virus 1	Viruses	dsRNA viruses	unclassified	0.003218	1	-	-	1
Beauveria bassiana victorivirus NZL/1980	Viruses	dsRNA viruses	Totiviridae	0.005327	1	-	-	1
Bebaru virus	Viruses	ssRNA viruses	Togaviridae	0.011877	1	-	-	1
Bee Macula-like virus	Viruses	ssRNA viruses	Tymoviridae	0.006258	1	-	-	1
Beet black scorch virus	Viruses	ssRNA viruses	Tombusviridae	0.003644	1	-	-	1
Beet black scorch virus satellite RNA	Viruses	Satellites	unclassified	0.000615	1	-	-	1
Beet chlorosis virus	Viruses	ssRNA viruses	Luteoviridae	0.005776	1	-	-	1
Beet cryptic virus 1	Viruses	dsRNA viruses	Partitiviridae	0.003791	2	-	-	1
Beet curly top Iran virus	Viruses	ssDNA viruses	Geminiviridae	0.002845	1	-	-	1
Beet curly top virus	Viruses	ssDNA viruses	Geminiviridae	0.002994	1	-	-	1
Beet mild yellowing virus	Viruses	ssRNA viruses	Luteoviridae	0.005722	1	-	-	1
Beet mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009591	1	-	-	1
Beet necrotic yellow vein virus	Viruses	ssRNA viruses	Benyviridae	0.015914	5	-	-	1
Beet pseudoyellows virus	Viruses	ssRNA viruses	Closteroviridae	0.015909	2	-	-	1
Beet ringspot virus	Viruses	ssRNA viruses	Secoviridae	0.012024	2	-	-	1
Beet soil-borne mosaic virus	Viruses	ssRNA viruses	Benyviridae	0.014222	4	-	-	1
Beet soil-borne virus	Viruses	ssRNA viruses	Virgaviridae	0.012293	3	-	-	1
Beet virus Q	Viruses	ssRNA viruses	Virgaviridae	0.011445	3	-	-	1
Beet western yellows ST9 associated virus	Viruses	ssRNA viruses	unclassified	0.002843	1	-	-	1
Beet western yellows virus	Viruses	ssRNA viruses	Luteoviridae	0.005666	1	-	-	1
Beet yellows virus	Viruses	ssRNA viruses	Closteroviridae	0.01548	1	-	-	1
Beggiatoa	Bacteria	Proteobacteria	Gammaproteobacteria	7.63154	-	-	-	2
Beggiatoa alba	Bacteria	Proteobacteria	Gammaproteobacteria	4.26515	-	-	-	1
Beggiatoa leptomitiformis	Bacteria	Proteobacteria	Gammaproteobacteria	4.2653	1	-	-	1
Begomovirus-associated DNA-II	Viruses	Satellites	unclassified	0.001032	1	-	-	1
Begomovirus-associated DNA-III	Viruses	Satellites	unclassified	0.001209	1	-	-	1
Beihai barnacle viurs 1	Viruses	ssRNA viruses	unclassified	0.018697	1	-	-	1
Beijerinckia indica	Bacteria	Proteobacteria	Alphaproteobacteria	4.41862	1	-	2	1
Beijerinckia mobilis	Bacteria	Proteobacteria	Alphaproteobacteria	4.32054	-	-	-	1
Beilong virus	Viruses	ssRNA viruses	Paramyxoviridae	0.019212	1	-	-	1
Belgica antarctica	Eukaryota	Animals	Insects	89.5837	-	-	-	1
Bell pepper endornavirus	Viruses	dsRNA viruses	Endornaviridae	0.014728	1	-	-	1
Bell pepper mottle virus	Viruses	ssRNA viruses	Virgaviridae	0.006375	1	-	-	1
Bellflower vein chlorosis virus	Viruses	ssRNA viruses	Secoviridae	0.011649	1	-	-	1
Belliella baltica	Bacteria	FCB group	Bacteroidetes/Chlorobi group	4.1966	1	-	-	1
Bellilinea caldifistulae	Bacteria	Terrabacteria group	Chloroflexi	3.65568	-	-	-	2
Belnapia	Bacteria	Proteobacteria	Alphaproteobacteria	5.96228	-	-	-	1
Belnapia moabensis	Bacteria	Proteobacteria	Alphaproteobacteria	6.72709	-	-	-	1
Beluga Whale coronavirus SW1	Viruses	ssRNA viruses	Coronaviridae	0.031686	1	-	-	1
Bergeriella denitrificans	Bacteria	Proteobacteria	Betaproteobacteria	2.3239	-	-	-	1
Bergeyella zoohelcum	Bacteria	FCB group	Bacteroidetes/Chlorobi group	2.33278	-	-	-	2
Berkelbacteria bacterium GW2011_GWA1_36_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.861834	-	-	-	1
Berkelbacteria bacterium GW2011_GWA1_39_10	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.343511	-	-	-	1
Berkelbacteria bacterium GW2011_GWA2_35_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.619203	-	-	-	1
Berkelbacteria bacterium GW2011_GWA2_38_9	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.723914	-	-	-	1
Berkelbacteria bacterium GW2011_GWA2_46_7	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.408073	-	-	-	1
Berkelbacteria bacterium GW2011_GWB1_38_5	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.547145	-	-	-	1
Berkelbacteria bacterium GW2011_GWE1_39_12	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.915059	1	-	-	1
Bermanella marisrubri	Bacteria	Proteobacteria	Gammaproteobacteria	3.55224	-	-	-	1
Berrimah virus	Viruses	ssRNA viruses	Rhabdoviridae	0.015024	1	-	-	1
Beta vulgaris	Eukaryota	Plants	Land Plants	566.567	9	1	-	8
Betabaculovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.134272	1	-	-	1
Betacoronavirus 1	Viruses	ssRNA viruses	Coronaviridae	0.031028	1	-	-	1
Betacoronavirus Erinaceus/VMC/DEU/2012	Viruses	ssRNA viruses	Coronaviridae	0.030175	1	-	-	1
Betacoronavirus HKU24	Viruses	ssRNA viruses	Coronaviridae	0.031249	1	-	-	1
Betapapillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007746	1	-	-	1
Betapapillomavirus 2	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007434	1	-	-	1
Betapapillomavirus 3	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.00756	1	-	-	1
Betaproteobacteria bacterium Ga0074130	Bacteria	Proteobacteria	Betaproteobacteria	2.22124	-	-	-	1
Betaproteobacteria bacterium Ga0077523	Bacteria	Proteobacteria	Betaproteobacteria	4.69553	-	-	-	1
Betaproteobacteria bacterium Ga0077526	Bacteria	Proteobacteria	Betaproteobacteria	6.10159	-	-	-	1
Betaproteobacteria bacterium Ga0077527	Bacteria	Proteobacteria	Betaproteobacteria	3.41825	-	-	-	1
Betaproteobacteria bacterium Ga0077532	Bacteria	Proteobacteria	Betaproteobacteria	4.9256	-	-	-	1
Betaproteobacteria bacterium Ga0077540	Bacteria	Proteobacteria	Betaproteobacteria	2.33024	-	-	-	1
Betaproteobacteria bacterium MOLA814	Bacteria	Proteobacteria	Betaproteobacteria	2.85971	-	-	-	1
Betaproteobacteria bacterium SCGC AG-212-J23	Bacteria	Proteobacteria	Betaproteobacteria	2.05821	-	-	-	1
Betaproteobacteria bacterium SG8_39	Bacteria	Proteobacteria	Betaproteobacteria	3.13718	-	-	-	1
Betaproteobacteria bacterium SG8_40	Bacteria	Proteobacteria	Betaproteobacteria	2.4338	-	-	-	1
Betaproteobacteria bacterium SG8_41	Bacteria	Proteobacteria	Betaproteobacteria	3.74763	-	-	-	1
Betaproteobacteria bacterium UKL13-2	Bacteria	Proteobacteria	Betaproteobacteria	3.38709	1	-	-	1
Bettongia penicillata papillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007737	1	-	-	1
Betula nana	Eukaryota	Plants	Land Plants	564.011	-	-	-	1
Beutenbergia cavernae	Bacteria	Terrabacteria group	Actinobacteria	4.66918	1	-	-	1
Beverwykella pulmonaria	Eukaryota	Fungi	Ascomycetes	45.9662	-	-	-	1
Bhanja virus	Viruses	ssRNA viruses	Bunyaviridae	0.011511	3	-	-	1
Bhargavaea cecembensis	Bacteria	Terrabacteria group	Firmicutes	3.20746	-	-	-	3
Bhendi yellow vein Bhubhaneswar virus	Viruses	ssDNA viruses	Geminiviridae	0.002757	1	-	-	1
Bhendi yellow vein Delhi virus [2004:New Delhi]	Viruses	ssDNA viruses	Geminiviridae	0.002751	1	-	-	1
Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006]	Viruses	Satellites	unclassified	0.001385	1	-	-	1
Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006]	Viruses	ssDNA viruses	Geminiviridae	0.002739	1	-	-	1
Bhendi yellow vein betasatellite	Viruses	Satellites	unclassified	0.001353	1	-	-	1
Bhendi yellow vein mosaic alphasatellite	Viruses	Satellites	unclassified	0.00137	1	-	-	1
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005]	Viruses	Satellites	unclassified	0.001373	1	-	-	1
Bhendi yellow vein mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.002741	1	-	-	1
Bhendi yellow vein mosaic virus-associated alphasatellite	Viruses	Satellites	unclassified	0.001316	1	-	-	1
Bhindi yellow vein alphasatellite	Viruses	Satellites	unclassified	0.001361	1	-	-	1
Biatriospora mackinnonii	Eukaryota	Fungi	Ascomycetes	51.7106	-	-	-	1
Bibersteinia trehalosi	Bacteria	Proteobacteria	Gammaproteobacteria	2.40785	1	-	-	5
Bidens mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009557	1	-	-	1
Bidens mottle virus	Viruses	ssRNA viruses	Potyviridae	0.009741	1	-	-	1
Bifidobacterium	Bacteria	Terrabacteria group	Actinobacteria	2.59527	-	-	-	5
Bifidobacterium actinocoloniiforme	Bacteria	Terrabacteria group	Actinobacteria	1.83006	1	-	-	3
Bifidobacterium adolescentis	Bacteria	Terrabacteria group	Actinobacteria	2.38911	1	-	-	10
Bifidobacterium adolescentis CAG:119	Bacteria	Terrabacteria group	Actinobacteria	1.92435	-	-	-	1
Bifidobacterium aesculapii	Bacteria	Terrabacteria group	Actinobacteria	2.69349	-	-	-	1
Bifidobacterium angulatum	Bacteria	Terrabacteria group	Actinobacteria	2.02197	1	-	-	5
Bifidobacterium animalis	Bacteria	Terrabacteria group	Actinobacteria	1.93848	1	-	-	29
Bifidobacterium asteroides	Bacteria	Terrabacteria group	Actinobacteria	2.1673	1	-	-	5
Bifidobacterium biavatii	Bacteria	Terrabacteria group	Actinobacteria	3.25215	-	-	-	2
Bifidobacterium bifidum	Bacteria	Terrabacteria group	Actinobacteria	2.21466	1	-	-	28
Bifidobacterium bifidum CAG:234	Bacteria	Terrabacteria group	Actinobacteria	2.12414	-	-	-	1
Bifidobacterium bohemicum	Bacteria	Terrabacteria group	Actinobacteria	2.05247	-	-	-	2
Bifidobacterium bombi	Bacteria	Terrabacteria group	Actinobacteria	1.89524	-	-	-	2
Bifidobacterium boum	Bacteria	Terrabacteria group	Actinobacteria	2.17144	-	-	-	3
Bifidobacterium breve	Bacteria	Terrabacteria group	Actinobacteria	2.26941	1	-	1	46
