#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Neolamprologus brichardi	32507	PRJNA60365	60365	Animals	Fishes	847.91	42.0001	GCA_000239395.1	-	1	-	AFNY01	9099	25031	31372	2011/12/20	2015/04/28	Scaffold	Broad Institute	SAMN00139653
Pundamilia nyererei	303518	PRJNA60367	60367	Animals	Fishes	830.133	41.9	GCA_000239375.1	-	-	-	AFNX01	7236	24446	38583	2011/12/20	2015/04/28	Scaffold	Broad Institute	SAMN00149614
Gelatoporia subvermispora B	914234	PRJNA60419	60419	Fungi	Basidiomycetes	38.9697	53.6	GCA_000320605.2	-	-	-	AEOV01	740	12314	12123	2012/04/18	2014/08/11	Scaffold	DOE Joint Genome Institute	SAMN02981297
Bombus impatiens	132113	PRJNA61101	61101	Animals	Insects	249.185	37.9	GCA_000188095.2	-	-	-	AEQM02	5559	11740	20895	2011/01/31	2015/04/27	Scaffold	Biotechnology Center, University of Illinois (BCUI)	SAMN02953787
Thalassiosira oceanica	159749	PRJNA36595	36595	Other	Other	92.1856	53.2648	GCA_000296195.2	-	1	-	AGNL01	50892	34684	34642	2012/07/25	2014/08/11	Contig	DFG Cluster of Excellence 'Future Ocean'	SAMN02981384
Vavraia culicis subsp. floridensis	948595	PRJNA62117	62117	Fungi	Other Fungi	6.11869	39.9	GCA_000192795.1	-	-	-	AEUG01	379	2823	2773	2011/03/17	2014/08/11	Scaffold	Broad Institute	SAMN02981300
Metaseiulus occidentalis	34638	PRJNA62309	62309	Animals	Other Animals	151.724	51.5955	GCA_000255335.1	-	1	-	AFFJ01	2211	12360	11738	2012/03/01	2014/08/04	Scaffold	Baylor College of Medicine	SAMN00849407
Drosophila bipectinata	42026	PRJNA62313	62313	Animals	Insects	167.264	41.6	GCA_000236285.2	-	-	-	AFFE02	5500	15789	23478	2011/10/27	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00714473
Drosophila elegans	30023	PRJNA62315	62315	Animals	Insects	171.268	40.3	GCA_000224195.2	-	-	-	AFFF02	5429	16164	24259	2011/07/14	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00715014
Drosophila ficusphila	30025	PRJNA62317	62317	Animals	Insects	152.439	42	GCA_000220665.2	-	-	-	AFFG02	5754	15924	23894	2011/07/14	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00715126
Drosophila kikkawai	30033	PRJNA62319	62319	Animals	Insects	164.293	41.4	GCA_000224215.2	-	-	-	AFFH02	5141	15840	22347	2011/07/14	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00715127
Drosophila takahashii	29030	PRJNA62321	62321	Animals	Insects	182.107	40	GCA_000224235.2	-	-	-	AFFI02	5733	16175	23999	2011/07/14	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00715130
Drosophila biarmipes	125945	PRJNA62307	62307	Animals	Insects	169.379	41.8	GCA_000233415.2	-	-	-	AFFD02	5523	14943	22690	2011/10/27	2013/11/14	Scaffold	Baylor College of Medicine	SAMN00714466
Leishmania donovani	5661	PRJEA61817	61817	Protists	Kinetoplasts	32.445	59.0623	GCA_000227135.2	36	-	-	-	36	8195	8032	2011/02/07	2015/02/27	Chromosome	Wellcome Trust Sanger Institute	SAMEA2271930
Leishmania donovani Ld 2001	1215323	PRJNA171297	171297	Protists	Kinetoplasts	27.4665	55.7	GCA_000283395.1	-	-	-	ALJU01	14518	-	-	2012/08/06	2014/08/06	Contig	Central Drug Research Institute Lucknow India	SAMN02953820
Leishmania donovani Ld 39	1240127	PRJNA176885	176885	Protists	Kinetoplasts	23.6833	55.8	GCA_000316305.1	-	-	-	ANFN01	16323	-	-	2012/12/03	2014/08/06	Contig	Central Drug Research Institute Lucknow India	SAMN02953825
Leishmania donovani	5661	PRJNA192928	192928	Protists	Kinetoplasts	32.4149	59.0361	GCA_000470725.1	36	-	-	AVPQ01	36	-	-	2013/09/12	2013/11/06	Chromosome	CSIR Central Drug Research Institute Lucknow	SAMN01974509
Acromyrmex echinatior	103372	PRJNA62733	62733	Animals	Insects	295.945	34	GCA_000204515.1	-	-	-	AEVX01	4339	12325	20241	2011/04/14	2014/08/06	Scaffold	Beijing Genomics Institute, Shenzhen	SAMN02953789
Zymoseptoria passerinii SP63	985148	PRJNA63049	63049	Fungi	Ascomycetes	28.7863	53.6	GCA_000223825.2	-	-	-	AFIY01	1517	-	-	2011/08/08	2014/08/11	Contig	University of Aarhus, Bioinformatics Research Center	SAMN02981330
Odocoileus virginianus	9874	PRJNA52611	52611	Animals	Mammals	37.6562	45.2	GCA_000191625.1	-	-	-	AEGZ01	93873	-	-	2011/03/07	2014/08/06	Contig	Texas A&M University	SAMN02953782
Odocoileus virginianus	9874	PRJNA52611	52611	Animals	Mammals	15.0023	45.6	GCA_000191605.1	-	-	-	AEGY01	44342	-	-	2011/03/07	2014/08/06	Contig	Texas A&M University	SAMN02953782
Schrenkiella parvula	98039	PRJNA63667	63667	Plants	Land Plants	137.073	35.7366	GCA_000218505.1	7	-	-	AFAN01	1463	-	-	2011/03/25	2013/11/01	Chromosome	University of Illinois	SAMN00139339
Gloeophyllum trabeum ATCC 11539	670483	PRJNA64553	64553	Fungi	Basidiomycetes	37.1782	52.9	GCA_000344685.1	-	-	-	AFVP01	442	11885	11755	-	-	Scaffold	JGI	SAMN02743873
Neurospora tetrasperma FGSC 2508	510951	PRJNA65273	65273	Fungi	Ascomycetes	39.1463	49.4	GCA_000213175.1	-	-	-	AFBT01	81	10380	10380	-	-	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02769628
Neurospora tetrasperma FGSC 2509	510952	PRJNA65453	65453	Fungi	Ascomycetes	39.1235	49.6	GCA_000213195.1	-	-	-	AFCY01	303	11186	11186	-	-	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02743872
Megachile rotundata	143995	PRJNA66515	66515	Animals	Insects	272.661	36.8	GCA_000220905.1	-	-	-	AFJA01	6266	11824	26024	2011/07/15	2014/08/06	Scaffold	University of Maryland	SAMN02953795
Epichloe glyceriae E277	1035635	PRJNA67247	67247	Fungi	Ascomycetes	46.723	45	GCA_000225285.2	-	-	-	AFRG01	3076	-	-	2011/09/02	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981346
Aciculosporium take MAFF-241224	1036760	PRJNA67241	67241	Fungi	Ascomycetes	58.8364	40.1	GCA_000222935.2	-	-	-	AFQZ01	3298	-	-	2011/08/03	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981340
Claviceps fusiformis PRL 1980	1036761	PRJNA67243	67243	Fungi	Ascomycetes	52.5856	36.9	GCA_000223055.1	-	-	-	AFRA01	6930	-	-	2011/08/08	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981339
Epichloe brachyelytri E4804	1036762	PRJNA67245	67245	Fungi	Ascomycetes	44.2319	40.2	GCA_000222915.1	-	-	-	AFRB01	5136	-	-	2011/08/03	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981341
Epichloe amarillans E57	1037526	PRJNA67301	67301	Fungi	Ascomycetes	38.0624	44.3	GCA_000223075.2	-	-	-	AFRF01	2180	-	-	2011/08/08	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981345
Periglandula ipomoeae IasaF13	1037531	PRJNA67303	67303	Fungi	Ascomycetes	35.3016	50.6	GCA_000222875.2	-	-	-	AFRD01	864	-	-	2011/08/03	2014/08/11	Contig	University of Kentucky, Dept of Plant Pathology	SAMN02981343
Drosophila rhopaloa	1041015	PRJNA67665	67665	Animals	Insects	197.376	40.2	GCA_000236305.2	-	-	-	AFPP02	22819	16752	23490	2011/10/27	2013/11/14	Scaffold	The modENCODE Project	SAMN00715129
Drosophila eugracilis	29029	PRJNA67709	67709	Animals	Insects	156.942	40.9	GCA_000236325.2	-	-	-	AFPQ02	4946	16123	24243	2011/10/27	2013/11/14	Scaffold	The modENCODE Project	SAMN00715289
Saimiri boliviensis boliviensis	39432	PRJNA67945	67945	Animals	Mammals	2608.59	41.1	GCA_000235385.1	-	1	-	AGCE01	2686	27316	36241	2011/11/10	2014/08/11	Scaffold	Broad Institute	SAMN02981369
Linum usitatissimum	4006		0	Plants	Land Plants	282.202	39.5	GCA_000224295.1	-	-	-	AFSQ01	48397	-	-	2011/08/22	2014/08/04	Contig	-	SAMN00627887
Heterocephalus glaber	10181	PRJNA72441	72441	Animals	Mammals	2618.2	41.2	GCA_000247695.1	-	1	-	AHKG01	4229	32029	42626	2012/02/15	2015/02/18	Scaffold	Broad Institute	SAMN00714537
Heterocephalus glaber	10181	PRJNA68323	68323	Animals	Mammals	2643.96	40.7	GCA_000230445.1	-	1	-	AFSB01	39266	21771	21771	2011/10/12	2013/08/14	Scaffold	Beijing Genomics Institute	SAMN00217190
Epichloe typhina E8	1227655	PRJNA174036	174036	Fungi	Ascomycetes	41.4386	41.5	GCA_000308955.1	-	-	-	AMDI01	2744	-	-	2012/10/31	2014/08/11	Contig	University of Kentucky	SAMN02981456
Epichloe typhina E5819	1051583	PRJNA68441	68441	Fungi	Ascomycetes	34.1858	42.9	GCA_000222955.2	-	-	-	AFSE01	2556	-	-	2011/08/03	2014/08/11	Contig	University of Kentucky 	SAMN02981349
Alligator sinensis	38654	PRJNA215016	215016	Animals	Other Animals	2270.57	44.6	GCA_000455745.1	-	1	-	AVPB01	9317	22098	28309	2013/08/27	2014/08/11	Scaffold	BGI-shenzhen	SAMN02981559
Pachysolen tannophilus NRRL Y-2460	669874	PRJEA85615	85615	Fungi	Ascomycetes	12.2379	29.8	GCA_000313505.1	-	-	-	CAHV01	267	-	-	2012/05/15	2012/05/15	Contig	Technical University of Denmark, Dept. of Systems Biology	SAMEA2272397
Lagenaria siceraria	3668	PRJNA200441	200441	Plants	Land Plants	176.727	32.3	GCA_000466325.1	-	-	-	ATBX01	305112	-	-	2013/09/11	2014/08/11	Scaffold	Institute of Vegetables, Zhejiang Academy of Agricultural Sciences	SAMN02981541
Chinchilla lanigera	34839	PRJNA68239	68239	Animals	Mammals	2390.87	41.4	GCA_000276665.1	-	1	-	AGCD01	2839	30308	45449	2012/07/06	2013/11/06	Scaffold	Broad Institute	SAMN00632093
Leptonychotes weddellii	9713	PRJNA68235	68235	Animals	Mammals	3156.9	43.8	GCA_000349705.1	-	1	-	APMU01	16711	25803	25718	2006/09/26	2009/04/14	Scaffold	Broad Institute	SAMN00672463
Lepisosteus oculatus	7918	PRJNA68247	68247	Animals	Fishes	945.878	40.4083	GCA_000242695.1	29	1	-	AHAT01	2106	21770	41647	2011/12/16	2013/11/01	Chromosome	Broad Institute	SAMN00706774
Arthrobotrys oligospora ATCC 24927	756982	PRJNA41495	41495	Fungi	Ascomycetes	40.0728	44.5	GCA_000225545.1	-	-	-	ADOT01	215	11479	11479	2011/09/07	2014/08/11	Scaffold	Laboratory for Conservation and Utilization of Bio-resources, Yunnan University, Kunming 650091, P. R. China	SAMN02981262
Cordyceps militaris CM01	983644	PRJNA41129	41129	Fungi	Ascomycetes	32.2686	51.4	GCA_000225605.1	-	-	-	AEVU01	32	9651	9651	2011/09/09	2014/08/11	Scaffold	Shanghai Institutes for Biological Sciences (SIBS), Chinese Academy of Sciences	SAMN02981304
Myceliophthora thermophila ATCC 42464	573729	PRJNA32775	32775	Fungi	Ascomycetes	38.7442	51.4491	GCA_000226095.1	7	-	-	-	7	9294	9099	2011/09/16	2014/09/02	Complete Genome	DOE Joint Genome Institute	SAMN00739435
Thielavia terrestris NRRL 8126	578455	PRJNA32847	32847	Fungi	Ascomycetes	36.9123	54.7294	GCA_000226115.1	6	-	-	-	6	9958	9802	2011/09/16	2014/09/02	Complete Genome	DOE Joint Genome Institute	SAMN02744067
Cucumis melo	3656	PRJEB68	169893	Plants	Land Plants	374.928	34.9008	GCA_000313045.1	-	1	-	CAJI01	31464	22519	29798	2012/06/29	2012/06/29	Scaffold	CRAG	SAMEA2272451
Citrus sinensis	2711	PRJNA86123	86123	Plants	Land Plants	327.83	35.3314	GCA_000317415.1	9	1	-	AJPS01	4995	28407	35648	2012/09/18	2014/08/11	Chromosome	China sweet orange genome project	SAMN02981414
Columba livia	8932	PRJNA167554	167554	Animals	Birds	1107.99	41.6001	GCA_000337935.1	-	1	-	AKCR01	14923	15805	18583	2013/02/04	2014/08/11	Scaffold	BGI	SAMN02981415
Capra hircus	9925	PRJNA158393	158393	Animals	Mammals	2635.85	42.1792	GCA_000317765.1	30	1	-	AJPT01	77432	26912	30164	2012/12/06	2015/09/10	Chromosome	International Goat Genome Consortium 	SAMN02953816
Tetrahymena malaccensis 436	1075772	PRJNA51577	51577	Protists	Other Protists	106.672	23.2	GCA_000231845.2	-	-	-	AFXY02	554	-	-	2011/10/24	2014/08/06	Scaffold	Broad Institute	SAMN02953799
Crassostrea gigas	29159	PRJNA70283	70283	Animals	Other Animals	557.736	35.3	GCA_000297895.1	-	1	-	AFTI01	7659	32273	45406	2012/09/17	2013/07/02	Scaffold	BGI-Shenzhen	SAMN00690713
Pantholops hodgsonii	59538	PRJNA72465	72465	Animals	Mammals	2696.89	42.4	GCA_000400835.1	-	1	-	AGTT01	15059	31808	32279	2013/05/21	2013/11/01	Scaffold	BGI	SAMN00990743
Xiphophorus maculatus	8083	PRJNA72525	72525	Animals	Fishes	729.664	39.8002	GCA_000241075.1	-	1	-	AGAJ01	20632	22254	23484	2012/01/03	2014/08/11	Scaffold	The Genome Institute,  Washington University at St. Louis	SAMN02981361
Melopsittacus undulatus	13146	PRJNA72527	72527	Animals	Birds	1117.37	41.4001	GCA_000238935.1	-	1	-	AGAI01	25212	14536	17079	2011/11/28	2014/08/11	Scaffold	Duke University Genome Center	SAMN02981360
Jaculus jaculus	51337	PRJNA72445	72445	Animals	Mammals	2835.25	42.7	GCA_000280705.1	-	1	-	AKZC01	10898	25275	25473	2012/07/20	2013/11/01	Scaffold	Broad Institute	SAMN00728442
Citrullus lanatus	3654	PRJNA72695	72695	Plants	Land Plants	321.047	32.9	GCA_000238415.1	-	-	-	AGCB01	40248	-	-	2011/12/13	2014/08/11	Contig	National Engineering Research Center for Vegetables, Beijing Academy of Agriculture and Forestry Sciences	SAMN02981367
Balaenoptera acutorostrata scammoni	310752	PRJNA72723	72723	Animals	Mammals	2431.69	41.4	GCA_000493695.1	-	1	-	ATDI01	10776	26861	34821	2013/10/31	2014/01/09	Scaffold	Korea Ocean Research & Development Institute	SAMN02192642
Panthera tigris altaica	74533	PRJNA182708	182708	Animals	Mammals	2391.08	41.5	GCA_000464555.1	-	1	-	ATCQ01	1479	25041	29473	2013/09/05	2013/09/27	Scaffold	Personal Genomics Institute	SAMN02086964
Moniliophthora roreri MCA 2997	1381753	PRJNA213737	213737	Fungi	Basidiomycetes	52.2049	46.9	GCA_000488995.1	-	-	-	AWSO01	3280	17910	17910	2013/10/30	2014/08/11	Contig	USDA-ARS, UNICAMP (Brazil), Penn State, UNC	SAMN02981561
Podospora anserina S mat+	515849	PRJNA12954	12954	Fungi	Ascomycetes	34.7189	52.2	GCA_000226545.1	-	-	-	-	33	11062	10548	-	-	Scaffold	Genoscope - Centre National de Séquençage	-
Heliconius melpomene melpomene	171917	PRJEA71053	71053	Animals	Insects	273.786	33.1	GCA_000313835.2	-	-	-	CAEZ01	4309	-	-	2012/02/14	2012/02/14	Scaffold	Heliconius Genome Sequencing Consortium	SAMEA2272046
Heliconius melpomene melpomene	171917	PRJEA71053	71053	Animals	Insects	66.9513	32.8	GCA_000326025.1	-	-	-	CAFA01	14286	-	-	2012/10/05	2015/01/30	Contig	Heliconius Genome Sequencing Consortium	SAMEA2272543
Tetrahymena borealis	5893	PRJNA51575	51575	Protists	Other Protists	93.5061	24.3	GCA_000260095.1	-	-	-	AHAN01	325	-	-	2012/04/27	2013/11/01	Scaffold	Broad Institute	SAMN00727833
Tetrahymena elliotti 4EA	1075773	PRJNA51573	51573	Protists	Other Protists	90.8376	23.5	GCA_000231825.2	-	-	-	AFXF02	331	-	-	2011/10/24	2014/08/06	Scaffold	Broad Institute	SAMN02953798
Microtus ochrogaster	79684	PRJNA72443	72443	Animals	Mammals	2287.34	42.8312	GCA_000317375.1	28	-	-	AHZW01	6450	24260	30752	2012/12/03	2013/11/01	Chromosome	Broad Institute	SAMN00727831
Condylura cristata	143302	PRJNA72447	72447	Animals	Mammals	1769.66	41.9	GCA_000260355.1	-	-	-	AJFV01	2040	20019	29166	2012/04/20	2013/11/01	Scaffold	Broad Institute	SAMN00727830
Aspergillus sojae NBRC 4239	927772	PRJDA60265	60265	Fungi	Ascomycetes	39.771	48.1	GCA_000226655.1	-	-	-	BACA01	542	-	-	2011/06/14	2015/12/22	Scaffold	Kikkoman Corporation	SAMD00036547
Oryza brachyantha	4533	PRJNA70533	70533	Plants	Land Plants	259.908	40.9955	GCA_000231095.2	24	-	-	AGAT01	2491	49048	53056	2011/10/24	2016/03/04	Chromosome	The Institute of Genetics and Developmental Biology	SAMN02981362
Trypanosoma congolense IL3000	1068625	PRJNA12958	12958	Protists	Kinetoplasts	18.8055	47.6	GCA_000227395.2	-	-	-	CAEQ01	2824	6272	5984	2011/07/26	2012/05/11	Scaffold	The Sanger Institute	SAMEA3138399
Trypanosoma vivax Y486	1055687	PRJNA12957	12957	Protists	Kinetoplasts	24.7793	53.6	GCA_000227375.1	-	-	-	CAEX01	8277	3889	3790	2011/08/08	2011/08/08	Contig	The Sanger Institute	SAMEA3138398
Sporisorium reilianum SRZ2	999809	PRJNA64587	64587	Fungi	Basidiomycetes	18.4769	59.5059	GCA_000230245.1	23	1	-	-	45	6806	6673	2010/12/23	2015/02/27	Chromosome	Munich Information Center for Protein Sequences	SAMEA3138400
Drosophila miranda	7229	PRJNA77213	77213	Animals	Insects	136.729	45.0199	GCA_000269505.2	12	-	-	AJMI02	6	14865	22644	2012/06/12	2014/08/06	Chromosome	University of California, Berkeley	SAMN02953815
Leucoraja erinacea	7782	PRJNA60893	60893	Animals	Fishes	1555.46	40.3	GCA_000238235.1	-	1	-	AESE01	2962366	13	13	2011/11/27	2012/01/17	Contig	North East Cyberinfrastructure Consortium	SAMN00189066
Rhinolophus ferrumequinum	59479	PRJNA209409	209409	Animals	Mammals	1926.44	40.6	GCA_000465495.1	-	-	-	AWHA01	160500	-	-	-	-	Scaffold	School of Biological & Chemical Sciences, Queen Mary University of London	SAMN02213056
Aegilops tauschii	37682	PRJNA182898	182898	Plants	Land Plants	3313.65	46.3	GCA_000347335.1	-	-	-	AOCO01	429891	40484	33849	-	-	Scaffold	BGI	SAMN03004387
Trypanosoma rangeli SC58	429131	PRJNA18945	18945	Protists	Kinetoplasts	15.1143	53	GCA_000492115.1	-	-	-	AUPL01	9066	7475	7475	2013/10/30	2014/09/24	Contig	BiowebDB	SAMN02953860
Phlebotomus papatasi	29031	PRJNA20293	20293	Animals	Insects	363.768	34.3	GCA_000262795.1	-	-	-	AJVK01	106826	-	-	2012/05/04	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953817
Pneumocystis jirovecii	42068	PRJEA68827	68827	Fungi	Ascomycetes	8.17998	28.4	GCA_000333975.2	-	-	-	CAKM01	358	3754	3537	2012/12/10	2015/01/30	Contig	Vital-IT / High Performance Computing Center	SAMEA2272480
Pneumocystis murina B123	1069680	PRJNA70803	70803	Fungi	Ascomycetes	7.45136	26.9	GCA_000349005.1	-	-	-	AFWA01	17	3610	3838	2013/03/25	2015/12/22	Contig	Broad Institute	SAMN00102820
Lupinus angustifolius	3871	PRJNA179231	179231	Plants	Land Plants	523.298	34.5	GCA_000338175.1	-	-	-	AOCW01	71995	-	-	2013/02/06	2014/08/11	Scaffold	Department of Agriculture and Food, WA government, Australia	SAMN02981495
Nosema bombycis CQ1	578461	PRJNA30919	30919	Fungi	Other Fungi	15.6898	32.3	GCA_000383075.1	-	-	-	ACJZ01	1607	4468	4468	2013/04/10	2014/08/06	Scaffold	The Institute of Sericulture and Systems Biology (ISSB) of Southwest University (SWU)	SAMN02953755
Tremella mesenterica DSM 1558	578456	PRJNA32829	32829	Fungi	Basidiomycetes	28.6399	46.8	GCA_000271645.1	-	-	-	AFVY01	45	8309	8308	2012/06/21	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02744056
Vigna angularis var. angularis	157739	PRJNA210126	210126	Plants	Land Plants	291.824	33.1	GCA_000465365.1	-	-	-	AUGG01	14501	-	-	2013/09/06	2014/08/11	Scaffold	Seoul National University	SAMN02981549
Theileria equi strain WA	1537102	PRJNA38023	38023	Protists	Apicomplexans	11.6745	39.4681	GCA_000342415.1	2	-	-	ACOU01	12	5398	5329	2012/12/06	2014/08/20	Chromosome	J. Craig Venter Institute	SAMN02953758
Claviceps purpurea 20.1	1111077	PRJEA76493	76493	Fungi	Ascomycetes	32.0914	51.6	GCA_000347355.1	-	-	-	CAGA01	191	8979	8823	2012/07/31	2015/01/30	Scaffold	Institute of Bioinformatics and Systems Biology, Helmholtz Zentrum Muenchen	SAMEA2272775
Mortierella alpina ATCC 32222	685557	PRJNA41211	41211	Fungi	Other Fungi	38.0421	51.8	GCA_000240685.2	-	-	-	ADAG01	1099	-	-	2011/12/29	2014/08/11	Contig	School of Food Science and Technology, Jiangnan University, P.R. China	SAMN02981246
Ganoderma lucidum G.260125-1	1077286	PRJNA71455	71455	Fungi	Basidiomycetes	43.2926	56.1	GCA_000271565.1	-	-	-	AGAX01	82	-	-	-	-	Scaffold	The Institute of Medicinal Plant Development	SAMN02981363
Ganoderma lucidum Xiangnong No.1	1127707	PRJNA77007	77007	Fungi	Basidiomycetes	39.9458	55.3	GCA_000262775.1	-	-	-	AHGX01	634	-	-	-	-	Scaffold	Huazhong University of Science and Technology	SAMN00754288
Dendroctonus ponderosae	77166	PRJNA162621	162621	Animals	Insects	252.848	38.4	GCA_000355655.1	-	-	-	APGK01	8188	13088	13457	-	-	Scaffold	The Tria Project: Mountain Pine Beetle System Genomics	SAMN01121785
Pythium ultimum DAOM BR144	431595	PRJNA36503	36503	Protists	Other Protists	44.9135	52.2	GCA_000143045.1	-	-	-	ADOS01	975	-	-	2010/06/18	2014/08/11	Scaffold	Michigan State University	SAMN02981261
Pythium ultimum var. sporangiiferum BR650	1223559	PRJNA169055	169055	Protists	Other Protists	37.6314	51.1	GCA_000387525.2	-	-	-	AKYB02	5482	-	-	2013/05/02	2014/08/11	Scaffold	Michigan State University	SAMN02981434
Solanum pimpinellifolium	4084	PRJNA72351	72351	Plants	Land Plants	688.247	33.8	GCA_000230315.1	-	-	-	AGFK01	309180	-	-	2011/10/06	2014/08/11	Contig	Sol Genomics Network	SAMN02981372
Oryza granulata	110450	PRJNA13788	13788	Plants	Land Plants	35.2457	46	GCA_000325645.2	-	-	-	ALNT01	1	-	-	2012/10/17	2014/08/06	Scaffold	The Oryza Map Alignment Project (OMAP)	SAMN02953821
Colletotrichum higginsianum	80884	PRJNA47061	47061	Fungi	Ascomycetes	49.0849	55.1	GCA_000313795.2	-	-	-	CACQ02	10235	16511	16141	2011/02/15	2012/01/20	Scaffold	Max Planck Institute for Plant Breeding Research	SAMEA3138427
Encephalitozoon hellem ATCC 50504	907965	PRJNA53973	53973	Fungi	Other Fungi	2.25178	43.365	GCA_000277815.3	10	-	-	-	12	1912	1847	2012/06/28	2014/10/01	Chromosome	University of British Columbia	SAMN03081428
Ophiocordyceps sinensis CO18	911162	PRJNA59569	59569	Fungi	Ascomycetes	78.5158	46.1	GCA_000448365.1	-	-	-	ANOV01	10603	6972	6972	2013/08/20	2014/08/11	Scaffold	Shanghai Institutes for Biological Sciences	SAMN02981486
Eremothecium cymbalariae DBVPG#7215	931890	PRJNA60715	60715	Fungi	Ascomycetes	9.66942	40.3222	GCA_000235365.1	8	-	-	-	8	4853	4434	2011/11/14	2014/10/01	Chromosome	Carlsberg Laboratory	SAMN03081426
Sebastes rubrivinctus	72099	PRJNA62009	62009	Animals	Fishes	756.297	40.7	GCA_000475215.1	-	-	-	AUPQ01	68206	-	-	-	-	Scaffold	University of Southern California	SAMN02981552
Leptosphaeria maculans JN3	985895	PRJNA63129	63129	Fungi	Ascomycetes	45.1246	45.3	GCA_000230375.1	-	-	-	-	76	12469	12469	-	-	Scaffold	Genoscope	-
Ceratocystis fimbriata CBS 114723	1035309	PRJNA67151	67151	Fungi	Ascomycetes	23.5898	48.4	GCA_000389695.2	-	-	-	APWK02	1185	-	-	-	-	Contig	Forestry and Agricultural Biotechnology Institute (FABI)	SAMN01985854
Anopheles arabiensis	7173	PRJNA191565	191565	Animals	Insects	246.568	45.3	GCA_000349185.1	-	-	-	APCN01	1214	-	-	-	-	Scaffold	Broad Institute	SAMN02953842
Anopheles quadriannulatus	34691	PRJNA191558	191558	Animals	Insects	283.829	45.9	GCA_000349065.1	-	-	-	APCH01	2823	-	-	-	-	Scaffold	Broad Institute	SAMN02953838
Anopheles epiroticus	199890	PRJNA191562	191562	Animals	Insects	223.487	44.4	GCA_000349105.1	-	-	-	APCJ01	2673	-	-	-	-	Scaffold	Broad Institute	SAMN01087920
Anopheles christyi	43041	PRJNA191564	191564	Animals	Insects	172.659	42.8	GCA_000349165.1	-	-	-	APCM01	30369	-	-	-	-	Scaffold	Broad Institute	SAMN02953841
Anopheles maculatus	74869	PRJNA67221	67221	Animals	Insects	141.894	44.5	GCA_000473185.1	-	-	-	AXCL01	47797	-	-	2013/09/30	2013/09/30	Scaffold	Broad Institute	SAMN01087922
Anopheles minimus	112268	PRJNA67225	67225	Animals	Insects	201.793	43.2	GCA_000349025.1	-	-	-	APHL01	678	-	-	2013/03/25	2014/08/06	Scaffold	Broad Institute	SAMN02953845
Anopheles culicifacies	139723	PRJNA163119	163119	Animals	Insects	202.999	43.1	GCA_000473375.1	-	-	-	AXCM01	16162	-	-	2013/09/30	2014/08/06	Scaffold	Broad Institute	SAMN02953871
Anopheles dirus	7168	PRJNA67231	67231	Animals	Insects	216.308	46.4	GCA_000349145.1	-	-	-	APCL01	1266	-	-	2013/03/25	2014/08/06	Scaffold	Broad Institute	SAMN02953840
Anopheles atroparvus	41427	PRJNA67233	67233	Animals	Insects	224.29	46.8	GCA_000473505.1	-	-	-	AXCP01	1371	-	-	2013/09/30	2013/09/30	Scaffold	Broad Institute	SAMN01087926
Anopheles albimanus	7167	PRJNA191561	191561	Animals	Insects	170.508	49.2	GCA_000349125.1	-	-	-	APCK01	204	-	-	2013/03/25	2014/08/06	Scaffold	Broad Institute	SAMN02953839
Plutella xylostella	51655	PRJNA78271	78271	Animals	Insects	393.471	39.7991	GCA_000330985.1	-	1	-	AHIO01	1794	19340	21674	2013/01/03	2014/08/06	Scaffold	Plutella xylostella genome consortium	SAMN02953808
Plutella xylostella	51655	PRJDB194	181111	Animals	Insects	186.028	38.3	GCA_000325945.1	-	-	-	BAGR01	88530	-	-	2012/11/16	2015/11/03	Contig	National Institute of Agrobiological Sciences	SAMD00004058
Rhizoctonia solani AG-1 IB	1108050	PRJEB40	170144	Fungi	Basidiomycetes	48.6737	48.0609	GCA_000350255.1	-	1	-	CAOJ01	23356	12393	12268	2013/03/19	2015/01/30	Contig	CEBITEC	SAMEA2272128
Cannabis sativa	3483	PRJNA73819	73819	Plants	Land Plants	757.439	38.8	GCA_000230575.1	-	-	-	AGQN01	135164	-	-	2011/10/13	2014/08/11	Scaffold	University of Toronto	SAMN02981385
Nannochloropsis gaditana CCMP526	1093141	PRJNA73791	73791	Protists	Other Protists	33.987	53.6	GCA_000240725.1	-	-	-	AGNI01	1883	3557	3554	2011/12/30	2014/08/11	Scaffold	Colorado School of Mines	SAMN02981382
